Region,X,Y,ImageHeight,ImageWidth
8,347.847044585462,1212.59575060018,2232,2249
8,347.664009585347,1210.97691017808,2232,2249
8,348.34178847565,1210.06547822242,2232,2249
8,349.880381256373,1209.8614547332,2232,2249
8,350.558160146677,1208.95002277753,2232,2249
8,352.0967529274,1208.74599928831,2232,2249
8,352.774531817703,1207.83456733265,2232,2249
8,353.543828208065,1207.73255558803,2232,2249
8,354.221607098369,1206.82112363237,2232,2249
8,355.760199879091,1206.61710014315,2232,2249
8,356.437978769395,1205.70566818748,2232,2249
8,357.976571550118,1205.50164469826,2232,2249
8,357.610501549888,1202.26396385406,2232,2249
8,355.302612378803,1202.5699990879,2232,2249
8,354.441798488385,1201.86259062146,2232,2249
8,355.119577378688,1200.9511586658,2232,2249
8,354.936542378573,1199.3323182437,2232,2249
8,355.614321268877,1198.42088628804,2232,2249
8,359.460803220684,1197.91082756498,2232,2249
8,360.138582110988,1196.99939560932,2232,2249
8,360.907878501349,1196.8973838647,2232,2249
8,361.585657391653,1195.98595190904,2232,2249
8,366.201435733821,1195.37388144136,2232,2249
8,366.879214624125,1194.4624494857,2232,2249
8,365.872522123492,1185.55882716416,2232,2249
8,364.150894342654,1184.14401023129,2232,2249
8,364.059376842597,1183.33459002024,2232,2249
8,357.135709329344,1184.25269572175,2232,2249
8,356.457930439041,1185.16412767741,2232,2249
8,355.688634048679,1185.26613942203,2232,2249
8,354.82782015826,1184.55873095559,2232,2249
8,354.736302658203,1183.74931074454,2232,2249
8,353.875488767784,1183.0419022781,2232,2249
8,353.106192377423,1183.14391402272,2232,2249
8,352.245378487004,1182.43650555628,2232,2249
8,352.153860986946,1181.62708534523,2232,2249
8,350.432233206108,1180.21226841236,2232,2249
8,350.157680705936,1177.78400777921,2232,2249
8,349.296866815517,1177.07659931277,2232,2249
8,349.205349315459,1176.26717910172,2232,2249
8,348.34453542504,1175.55977063529,2232,2249
8,348.253017924983,1174.75035042424,2232,2249
8,346.531390144145,1173.33553349136,2232,2249
8,346.439872644088,1172.52611328032,2232,2249
8,343.857430972831,1170.40388788101,2232,2249
8,343.765913472773,1169.59446766996,2232,2249
8,342.905099582355,1168.88705920352,2232,2249
8,342.813582082297,1168.07763899247,2232,2249
8,341.952768191878,1167.37023052603,2232,2249
8,341.861250691821,1166.56081031498,2232,2249
8,341.000436801402,1165.85340184855,2232,2249
8,340.817401801287,1164.23456142645,2232,2249
