Region,X,Y,ImageHeight,ImageWidth,Image_Width,Image_Height
8,-2.53615045692922,220.720929903204,500,500,362.360426706671,390.544015450523
8,-2.20895647385915,220.678718577875,500,500,362.360426706671,390.544015450523
8,-2.02589755858434,220.825077455619,500,500,362.360426706671,390.544015450523
8,-1.69870357551385,220.78286613029,500,500,362.360426706671,390.544015450523
8,-1.33258574496461,221.075583885775,500,500,362.360426706671,390.544015450523
8,-1.31312382122525,221.24304842618,500,500,362.360426706671,390.544015450523
8,-1.13006490595044,221.389407303924,500,500,362.360426706671,390.544015450523
8,-1.27419997374611,221.577977506993,500,500,362.360426706671,390.544015450523
8,-1.6013939568166,221.620188832321,500,500,362.360426706671,390.544015450523
8,-1.74552902461228,221.808759035391,500,500,362.360426706671,390.544015450523
8,-1.90912601614772,221.829864698054,500,500,362.360426706671,390.544015450523
8,-2.0532610839434,222.018434901124,500,500,362.360426706671,390.544015450523
8,-2.21685807547885,222.039540563789,500,500,362.360426706671,390.544015450523
8,-2.36099314327453,222.228110766858,500,500,362.360426706671,390.544015450523
8,-2.6881871263446,222.270322092184,500,500,362.360426706671,390.544015450523
8,-2.83232219414069,222.458892295255,500,500,362.360426706671,390.544015450523
8,-3.15951617721118,222.501103620582,500,500,362.360426706671,390.544015450523
8,-2.69243000746477,226.52025259033,500,500,362.360426706671,390.544015450523
8,-2.50937109218995,226.666611468071,500,500,362.360426706671,390.544015450523
8,-1.20059515990798,226.497766166761,500,500,362.360426706671,390.544015450523
8,-0.912325024316626,226.120625760623,500,500,362.360426706671,390.544015450523
8,-1.04855849049261,224.94837397778,500,500,362.360426706671,390.544015450523
8,-1.23161740576742,224.802015100036,500,500,362.360426706671,390.544015450523
8,-1.8860053719084,224.886437750692,500,500,362.360426706671,390.544015450523
8,-2.25212320245763,224.593719995207,500,500,362.360426706671,390.544015450523
8,-2.29104704993636,224.258790914394,500,500,362.360426706671,390.544015450523
8,-2.14691198214067,224.070220711324,500,500,362.360426706671,390.544015450523
8,-1.8197179990702,224.028009385999,500,500,362.360426706671,390.544015450523
8,-1.67558293127452,223.839439182927,500,500,362.360426706671,390.544015450523
8,-1.34838894820404,223.797227857601,500,500,362.360426706671,390.544015450523
8,-1.20425388040835,223.608657654531,500,500,362.360426706671,390.544015450523
8,-1.0406568888729,223.587551991866,500,500,362.360426706671,390.544015450523
8,-0.896521821077229,223.398981788797,500,500,362.360426706671,390.544015450523
8,-0.569327838006739,223.35677046347,500,500,362.360426706671,390.544015450523
8,-0.425192770211069,223.168200260399,500,500,362.360426706671,390.544015450523
8,-0.0979987871405683,223.125988935073,500,500,362.360426706671,390.544015450523
8,-0.175846482098439,222.456130773448,500,500,362.360426706671,390.544015450523
8,-0.666637456703967,222.519447761439,500,500,362.360426706671,390.544015450523
8,-0.849696371978386,222.373088883697,500,500,362.360426706671,390.544015450523
8,-0.705561304183114,222.184518680627,500,500,362.360426706671,390.544015450523
8,-0.744485151661841,221.849589599814,500,500,362.360426706671,390.544015450523
8,-0.600350083866175,221.661019396745,500,500,362.360426706671,390.544015450523
8,0.217634873810248,221.555491083427,500,500,362.360426706671,390.544015450523
8,0.361769941605939,221.366920880358,500,500,362.360426706671,390.544015450523
8,0.525366933140983,221.345815217693,500,500,362.360426706671,390.544015450523
8,0.669502000937065,221.157245014623,500,500,362.360426706671,390.544015450523
8,1.65108395014812,221.03061103864,500,500,362.360426706671,390.544015450523
8,1.7952190179438,220.842040835571,500,500,362.360426706671,390.544015450523
8,1.58113785680996,218.999930891104,500,500,362.360426706671,390.544015450523
8,1.21502002626073,218.70721313562,500,500,362.360426706671,390.544015450523
8,1.19555810252137,218.539748595214,500,500,362.360426706671,390.544015450523
8,-0.276814821295631,218.729699559186,500,500,362.360426706671,390.544015450523
8,-0.420949889091322,218.918269762256,500,500,362.360426706671,390.544015450523
8,-0.584546880626757,218.939375424921,500,500,362.360426706671,390.544015450523
8,-0.767605795901172,218.793016547177,500,500,362.360426706671,390.544015450523
8,-0.787067719640532,218.625552006772,500,500,362.360426706671,390.544015450523
8,-0.970126634915349,218.479193129028,500,500,362.360426706671,390.544015450523
8,-1.13372362645039,218.500298791693,500,500,362.360426706671,390.544015450523
8,-1.31678254172521,218.35393991395,500,500,362.360426706671,390.544015450523
8,-1.33624446546457,218.186475373544,500,500,362.360426706671,390.544015450523
8,-1.70236229601381,217.89375761806,500,500,362.360426706671,390.544015450523
8,-1.76074806723231,217.391363996841,500,500,362.360426706671,390.544015450523
8,-1.94380698250671,217.245005119099,500,500,362.360426706671,390.544015450523
8,-1.96326890624649,217.077540578692,500,500,362.360426706671,390.544015450523
8,-2.1463278215209,216.931181700951,500,500,362.360426706671,390.544015450523
8,-2.16578974526026,216.763717160544,500,500,362.360426706671,390.544015450523
8,-2.53190757580948,216.470999405058,500,500,362.360426706671,390.544015450523
8,-2.55136949954885,216.303534864654,500,500,362.360426706671,390.544015450523
8,-3.10054624537289,215.864458231427,500,500,362.360426706671,390.544015450523
8,-3.12000816911267,215.696993691021,500,500,362.360426706671,390.544015450523
8,-3.09688752487294,218.753566743658,500,500,362.360426706671,390.544015450523
9,0.598971746979103,226.265603877461,500,500,362.360426706671,390.544015450523
9,0.676819441936981,226.935462039086,500,500,362.360426706671,390.544015450523
