Region,X,Y
3,45,609
3,45,610
3,44,611
3,44,613
3,43,614
3,43,615
3,42,616
3,42,617
3,41,618
3,41,619
3,40,620
3,40,621
3,39,622
3,39,623
3,38,624
3,38,625
3,37,626
3,37,627
3,35,629
3,35,630
3,32,633
3,32,634
3,31,635
3,31,643
3,32,644
3,32,645
3,33,646
3,32,647
3,32,649
3,31,650
3,31,651
3,30,652
3,21,652
3,18,655
3,18,656
3,17,657
3,17,658
3,16,659
3,16,663
3,14,665
3,14,666
3,12,668
3,11,668
3,10,669
3,9,669
3,6,672
3,5,672
3,4,673
3,4,674
3,2,676
3,2,684
4,1,1855
4,1,1859
4,142,1859
4,143,1860
4,144,1860
4,146,1862
4,146,1932
4,143,1935
4,131,1935
4,130,1936
4,129,1936
4,128,1937
4,128,2166
4,127,2167
4,127,2173
4,128,2174
4,128,2220
4,127,2221
4,127,2231
4,128,2232
4,132,2232
4,132,2228
4,131,2227
4,131,2225
4,132,2224
4,132,1942
4,135,1939
4,148,1939
4,149,1938
4,149,1937
4,150,1936
4,150,1857
4,149,1856
4,148,1856
4,147,1855
5,28,1313
5,28,1318
5,29,1319
5,29,1320
5,31,1322
5,31,1323
5,32,1324
5,33,1324
5,34,1325
5,38,1325
5,39,1326
5,39,1327
5,40,1328
5,40,1330
5,41,1331
5,40,1332
5,38,1332
5,38,1336
5,45,1336
5,45,1334
5,46,1333
5,46,1331
5,47,1330
5,49,1330
5,50,1329
5,50,1325
5,45,1325
5,44,1324
5,44,1323
5,41,1320
5,41,1316
5,44,1313
5,45,1313
5,50,1308
5,51,1308
5,53,1306
5,54,1306
5,58,1302
5,59,1303
5,59,1312
5,60,1313
5,60,1332
5,61,1333
5,61,1344
5,62,1345
5,62,1350
5,63,1351
5,63,1360
5,62,1361
5,62,1362
5,61,1363
5,61,1370
5,62,1371
5,62,1372
5,64,1374
5,64,1379
5,65,1380
5,65,1382
5,67,1384
5,72,1384
5,73,1383
5,73,1382
5,75,1380
5,76,1380
5,77,1381
5,78,1381
5,79,1382
5,77,1384
5,77,1389
5,79,1391
5,81,1391
5,82,1392
5,83,1392
5,86,1395
5,86,1396
5,87,1397
5,87,1398
5,89,1400
5,96,1400
5,96,1399
5,97,1398
5,97,1394
5,96,1393
5,96,1391
5,95,1390
5,95,1382
5,94,1381
5,94,1379
5,95,1378
5,95,1377
5,96,1376
5,96,1366
5,95,1366
5,94,1365
5,93,1365
5,92,1364
5,87,1364
5,86,1363
5,82,1363
5,81,1362
5,80,1362
5,79,1361
5,79,1360
5,77,1358
5,77,1357
5,76,1356
5,76,1354
5,75,1353
5,75,1350
5,74,1349
5,74,1346
5,73,1345
5,73,1342
5,72,1341
5,72,1335
5,71,1334
5,71,1326
5,70,1325
5,70,1314
5,69,1313
5,69,1299
5,70,1298
5,72,1300
5,72,1301
5,73,1301
5,74,1302
5,81,1302
5,82,1301
5,82,1295
5,85,1292
5,88,1292
5,89,1293
5,96,1293
5,97,1292
5,97,1284
5,96,1284
5,95,1283
5,94,1283
5,93,1282
5,91,1282
5,90,1281
5,85,1281
5,84,1280
5,82,1280
5,81,1279
5,78,1279
5,77,1278
5,72,1278
5,68,1274
5,68,1273
5,66,1271
5,66,1270
5,65,1269
5,65,1268
5,64,1267
5,64,1266
5,62,1264
5,62,1263
5,59,1260
5,59,1259
5,57,1257
5,57,1256
5,54,1253
5,54,1252
5,51,1249
5,51,1248
5,49,1246
5,49,1245
5,45,1241
5,40,1241
5,39,1242
5,39,1251
5,40,1252
5,40,1253
5,41,1254
5,41,1255
5,44,1258
5,44,1259
5,49,1264
5,49,1265
5,51,1267
5,51,1268
5,54,1271
5,54,1273
5,57,1276
5,57,1277
5,58,1278
