Region,X,Y,ImageHeight,ImageWidth
9,25.6014180843054,317.627019836318,500,500
9,25.8003016504631,317.385599925105,500,500
9,25.6391754156009,316.099205558931,500,500
9,25.1339907933773,315.724449137242,500,500
9,25.0802820484234,315.295651015184,500,500
9,24.8276897373113,315.108272804342,500,500
9,24.8008353648344,314.893873743312,500,500
9,24.5482430537222,314.706495532467,500,500
9,24.5213886812453,314.492096471438,500,500
9,24.0162040590216,314.117340049749,500,500
9,23.9893496865447,313.90294098872,500,500
9,23.7367573754326,313.715562777875,500,500
9,23.7099030029557,313.501163716845,500,500
9,23.4573106918436,313.313785506003,500,500
9,23.4036019468897,312.884987383945,500,500
9,23.1510096357776,312.697609173099,500,500
9,22.7750484210993,309.696022318695,500,500
9,22.5224561099872,309.508644107849,500,500
9,22.2539123852172,307.364653497561,500,500
9,22.0013200741052,307.177275286715,500,500
9,22.7968543387364,306.211595641864,500,500
9,22.7699999662595,305.997196580836,500,500
9,23.366650664733,305.272936847195,500,500
9,23.3397962922555,305.058537786166,500,500
9,23.7375634245714,304.57569796374,500,500
9,23.6838546796176,304.146899841682,500,500
9,23.8827382457752,303.90547993047,500,500
9,23.74846638339,302.833484625324,500,500
9,23.9473499495476,302.592064714112,500,500
9,24.1730878881828,302.565043863928,500,500
9,24.3719714543405,302.323623952713,500,500
9,26.4036129020542,302.080436301056,500,500
9,26.6562052131658,302.267814511901,500,500
9,27.5591569677053,302.159731111161,500,500
9,27.8117492788168,302.347109322007,500,500
9,29.3919148492614,302.157963370717,500,500
9,29.6445071603729,302.345341581563,500,500
9,30.0959830376427,302.291299881193,500,500
9,30.3485753487542,302.478678092038,500,500
9,30.800051226024,302.424636391668,500,500
9,31.0526435371361,302.612014602514,500,500
9,31.5041194144059,302.557972902147,500,500
9,31.7567117255174,302.74535111299,500,500
9,32.2081876027872,302.691309412623,500,500
9,32.4607799138993,302.878687623465,500,500
9,32.9122557911685,302.824645923098,500,500
9,33.1648481022806,303.012024133944,500,500
9,33.3905860409158,302.985003283758,500,500
9,33.6431783520274,303.172381494603,500,500
9,34.7718680452016,303.037277243683,500,500
9,35.0244603563137,303.224655454526,500,500
9,35.701674172218,303.143592903972,500,500
9,35.9542664833301,303.330971114818,500,500
9,36.8572182378691,303.222887714081,500,500
9,37.1098105489812,303.410265924927,500,500
9,37.7870243648856,303.329203374373,500,500
9,38.0396166759978,303.516581585219,500,500
9,38.0664710484747,303.730980646245,500,500
9,38.3190633595868,303.918358857091,500,500
9,38.3459177320637,304.13275791812,500,500
9,38.5985100431753,304.320136128965,500,500
9,38.6253644156528,304.534535189995,500,500
9,38.8511023542874,304.507514339808,500,500
9,39.1036946653995,304.694892550654,500,500
9,39.2379665277847,305.7668878558,500,500
9,39.4905588388963,305.954266066642,500,500
9,40.8449864707056,305.792140965538,500,500
9,41.0975787818172,305.979519176381,500,500
9,41.1781418992485,306.622716359469,500,500
9,41.6833265214722,306.997472781156,500,500
9,43.037754153281,306.835347680053,500,500
9,43.4355212855969,306.352507857625,500,500
9,43.3818125406424,305.923709735569,500,500
9,43.5806961068007,305.682289824354,500,500
9,43.4195698719385,304.395895458182,500,500
9,43.1669775608264,304.208517247337,500,500
9,43.1132688158725,303.779719125279,500,500
9,42.8606765047604,303.592340914435,500,500
9,42.8338221322835,303.377941853407,500,500
9,42.3286375100598,303.003185431716,500,500
9,41.87716163279,303.057227132085,500,500
9,41.6245693216779,302.86984892124,500,500
9,40.9473555057735,302.950911471793,500,500
9,39.9369862613262,302.201398628413,500,500
9,39.9101318888493,301.986999567387,500,500
9,39.6575395777372,301.799621356541,500,500
9,39.6306852052602,301.585222295513,500,500
9,39.3780928941481,301.397844084667,500,500
9,39.1523549555135,301.424864934853,500,500
9,38.8997626444014,301.237486724008,500,500
9,38.4482867671316,301.291528424375,500,500
9,38.1956944560201,301.104150213532,500,500
9,37.0670047628459,301.239254464452,500,500
9,36.8144124517338,301.051876253606,500,500
9,36.1371986358294,301.13293880416,500,500
9,35.8846063247179,300.945560593317,500,500
9,35.2073925088129,301.026623143868,500,500
9,34.9548001977014,300.839244933025,500,500
9,34.5033243204316,300.893286633392,500,500
9,34.2507320093195,300.705908422549,500,500
9,33.7992561320497,300.759950122916,500,500
9,33.5466638209376,300.572571912071,500,500
9,33.0951879436684,300.62661361244,500,500
9,32.8425956325563,300.439235401595,500,500
9,32.3911197552865,300.493277101964,500,500
9,32.1385274441749,300.305898891119,500,500
9,31.9127895055398,300.332919741302,500,500
9,31.6601971944282,300.14554153046,500,500
9,31.2087213171584,300.199583230827,500,500
9,30.9561290060464,300.012205019984,500,500
9,29.6017013742376,300.174330121088,500,500
9,29.3491090631254,299.986951910245,500,500
9,28.4461573085859,300.095035310982,500,500
9,28.1935649974744,299.907657100136,500,500
9,27.51635118157,299.98871965069,500,500
9,27.2637588704579,299.801341439844,500,500
9,23.4262139136656,300.260695892978,500,500
9,22.9210292914419,299.885939471287,500,500
9,22.8941749189644,299.67154041026,500,500
9,22.3889902967408,299.296783988569,500,500
9,22.3352815517869,298.867985866511,500,500
9,22.5341651179446,298.626565955298,500,500
9,22.3998932555593,297.554570650155,500,500
9,22.598776821717,297.31315073894,500,500
